Feature ID	WT_01	WT_02	Mu_01	Mu_02
AT1G06080	1.719680685	0.444018811	0.803329273	0.263535145
AT1G06090	0	0	0	0.0315859
AT1G06100	0.013553039	0.016719227	0	0
AT1G06110	23.07742848	14.47966287	17.46990577	16.90249565
AT1G06120	0	0	0	0
AT1G06130	31.55363845	20.88605851	23.04788012	19.69685522
AT1G06135	0	0	0	0
AT1G06137	0	0	0	0
AT1G06140	0.756448688	0.753711119	0.460447129	0.404740254
AT1G06150	5.527963244	4.746881511	4.439517291	4.699317648
AT1G06149	3.287799216	2.474085046	3.031923336	3.045176617
AT1G06148	0.590212988	0.698677367	0.711262537	0.75079036
AT1G06160	7.402492296	1.551601715	4.051291789	0.959281766
AT1G06170	0.071793614	0.079709086	0.069920753	0.042052564
AT1G06180	1.578215725	0.87445956	0.781548416	0.352536049
AT1G06190	42.28548166	60.48606812	42.1844745	46.00331637
AT1G06200	53.10783427	44.244028	41.79836713	34.95184565
AT1G06210	18.20480752	14.85706128	14.19679639	14.36688753
AT1G06225	0	0	0	0
AT1G06230	17.12346324	13.00683936	14.37040636	13.27366317
AT1G06240	9.248217236	8.243477232	9.127625078	9.270358175
AT1G06250	1.55085489	0.924334397	1.166740135	1.020675799
AT1G06265	0	0	0	0
AT1G06260	0.023211675	0	0.084773092	0.169950775
AT1G06270	2.17472777	2.247196078	1.563096832	2.326737923
AT1G06280	0	0	0	0
AT1G06290	29.51081509	26.93309047	25.27214958	23.78067172
AT1G06310	0	0	0	0
AT1G06320	0	0	0	0
AT1G06330	0	0	0	0
AT1G06340	0.033372736	0.020584547	0.040627688	0
AT1G06350	0.063640357	0	0.154950469	0.124256184
AT1G06360	2.615312993	6.609319351	10.64724031	5.581820776
AT1G06380	6.348453941	8.257859457	5.671761642	5.472878629
AT1G06390	28.44969151	22.8002567	27.61530993	25.3085339
AT1G06400	36.1151031	23.47076987	30.86291493	23.26525339
AT1G06410	33.47617798	28.15056138	38.67056025	38.16706938
AT1G06420	0.166603211	0.367007418	0.260770301	0.209114066
AT1G06430	42.64609467	32.20323271	45.87186654	43.73969217
AT1G06440	1.094294416	0.917957549	0.62168624	0.619608813
AT1G06450	3.553253266	3.074883888	5.358703704	5.772735226
AT1G06460	550.5396993	395.1328787	452.7014015	457.0937554
AT1G06470	20.64572581	18.93198918	20.6306093	21.22307221
AT1G06475	0.595549453	0.380944408	0.698164408	0.775196809
AT1G06480	0	0	0	0
AT1G06490	0.223961085	0.364189467	0.5948691	0.477030919
AT1G06500	11.44309456	9.004685939	9.120116161	9.724548951
AT1G06515	16.77188575	13.67534405	17.33888147	16.96873516
AT1G06510	23.56598166	24.05994401	21.28373698	19.62153563
AT1G06520	0.122283059	0.286615317	0.089319819	0.053719779
AT1G06530	40.15645192	42.26147133	33.19282096	33.90719604
AT1G06540	0.059646626	0	0.145226601	0
AT1G06550	18.44497458	17.6964774	15.51488686	14.63709212
AT1G06560	4.477116383	5.671504864	3.824073601	3.295670007
AT1G06570	9.905753981	6.768381976	11.16095396	8.57459624
AT1G06580	1.390969791	0.865293318	0.940752723	1.027142069
AT1G06590	2.08273183	2.482029548	1.990128441	1.74935414
AT1G06610	0	0	0	0
AT1G06620	4.484461431	7.826461593	2.965286637	1.437794082
AT1G06630	10.39586636	7.399325318	8.343039124	7.656346254
AT1G06640	27.15005804	79.00332926	22.48064497	17.625246
AT1G06645	14.61665566	8.905783385	10.98012448	9.857641364
AT1G06650	62.25329359	49.14715071	55.55430034	52.37717942
AT1G06660	0.10800828	0.284246595	0.210381392	0.21088343
AT1G06670	8.517547522	9.463069377	7.124488398	7.12528537
AT1G06680	3632.780049	4256.701983	4666.667302	5241.125579
AT1G06690	44.031277	45.18524517	23.32716647	30.2455118
AT1G06700	37.76477698	27.77392086	33.48047034	30.52784175
AT1G06710	1.80931881	1.95025036	1.477121933	1.348259577
AT1G06720	6.023819956	9.912211009	4.101152339	4.425161278
AT1G06730	5.665005018	6.690239389	5.462896346	5.663505958
AT1G06750	0.496573018	0.280222641	0.398728469	0.355844096
AT1G06760	135.1039044	76.05100778	138.7126545	111.955962
AT1G06770	4.438558777	2.85379906	2.951019019	2.674411406
AT1G06780	8.550785493	4.87740203	6.048201859	5.275216909
AT1G06790	5.611630194	6.29043637	3.804396835	3.985696819
AT1G06800	3.634525925	2.74536833	2.989025523	3.117185385
AT1G06810	0	0	0	0
AT1G06820	19.37359126	19.69171967	16.4168174	18.35327243
AT1G06830	3.671397493	5.810345161	3.352146275	5.164013201
AT1G06840	5.447568728	4.082277881	5.178964349	4.487508258
AT1G06850	5.919739968	5.229727381	7.995841486	7.594398952
AT1G06860	0	0	0	0
AT1G06870	7.873938065	8.090044369	8.784659788	8.512690274
AT1G06880	0	0	0	0
AT1G06890	34.61405609	29.01237984	33.18477958	32.16773124
AT1G06900	8.76321314	10.55030729	9.145467517	9.51444493
AT1G06910	3.839732055	3.082333897	3.615172908	3.273109565
AT1G06920	0	0	0	0
AT1G06923	0	0	0	0.029090923
AT1G06925	0	0	0	0
AT1G06930	0	0	0	0
AT1G06950	40.82229328	56.57495761	35.34466632	37.23279944
AT1G06960	16.01582779	15.56028041	13.68355636	13.32256066
AT1G06970	0.014696066	0.006043094	0	0
AT1G06980	7.75658755	5.821080993	6.608085722	8.038950984
AT1G06990	0	0	0	0
AT1G07000	21.08086826	13.85779393	20.27855564	16.52042449
AT1G07010	24.91245036	19.95523933	13.39001746	12.81487305
AT1G07020	17.28314097	14.8910265	19.07952172	17.70281913
AT1G07025	0	0.030034539	0	0
AT1G07030	16.98763784	15.30199784	13.67312869	12.67379428
AT1G07040	37.91050245	24.77957005	35.7945444	29.03079674
AT1G07050	125.0816965	113.2612208	136.5504879	145.853714
AT1G07051	0	0	0	0
AT1G07060	0.216330909	0.061585147	0	0.09747245
AT1G07070	17.16168294	24.18036351	12.91253905	13.48179599
AT1G07080	123.8400592	98.96876307	114.0406189	103.7687062
AT1G07090	20.85127144	15.03134729	13.92034697	10.94818209
AT1G07100	0	0	0	0
AT1G07110	57.08008492	44.31097562	43.4437574	45.60066596
AT1G07119	0	0	0	0
AT1G07120	0.348776042	0.151170753	0.344267849	0.469321561
AT1G07128	0	0	0	0
AT1G07130	3.565100027	2.371756706	2.48007013	2.610287795
AT1G07135	13.61413876	12.25163014	16.2694464	14.8360526
AT1G07140	98.0513527	105.1626497	103.415974	98.8462728
AT1G07150	0.526205468	0.342598896	0.498242969	0.36387184
AT1G07160	0.033418452	0.030919118	0.020341671	0.073404766
AT1G07170	13.58057993	8.851355373	11.56190127	8.214529827
AT1G07175	0	0	0	0
AT1G07180	12.1022271	20.9972169	12.822989	15.0247131
AT1G07190	0	0	0	0
AT1G07200	4.034447205	3.963448696	3.311220603	2.569973315
AT1G07210	24.24261636	27.00217985	17.69028637	15.07138241
AT1G07220	7.93853727	7.851507873	6.706189634	5.519274058
AT1G07230	28.18729763	18.1487126	27.07750671	22.03709339
AT1G07240	30.99969225	22.09272179	27.55823103	26.5190341
AT1G07250	32.3346079	26.69158868	31.60512406	33.60209229
AT1G07260	2.014110372	3.277975872	1.170058579	0.952078816
AT1G07270	0.281238951	0.674055785	0.586933593	0.564800837
AT1G07280	114.60929	91.40613755	83.8595693	88.47031736
AT1G07290	1.573560631	0.807734075	1.028531249	0.95881666
AT1G07300	6.4722676	2.702372987	3.47496629	3.062027397
AT1G07310	25.83938652	22.50364204	33.48017867	34.71562146
